,index,idandtype,productname,company,interest_type,highest_rate,deposit_limit,period,redemption_interest,monthly_interest,review_counts,average_rate
151,799,3180DEPOSITFSS,Welcome 릴레이정기예금,welcome_sb,단리,2.1,10만원 ~ 제한없음,12개월 ~ 24개월,"6개월 미만:1.0
6개월 이상:1.5","
개월별 기본금리
12개월기본 1.8%우대 시 1.9%24개월기본 1.9%우대 시 2%36개월기본 2%우대 시 2.1%
",0,
152,803,3184DEPOSITFSS,e-정기예금,welcome_sb,단리,2.1,10만원 ~ 제한없음,1개월 ~ 36개월,"6개월 미만:1.0
6개월 이상:1.5","
개월별 기본금리
6개월기본 1.5%우대 시 1.5%12개월기본 1.9%우대 시 1.9%24개월기본 2%우대 시 2%36개월기본 2.1%우대 시 2.1%
",0,
153,811,3192DEPOSITFSS,m-정기예금,welcome_sb,단리,2.2,10만원 ~ 제한없음,1개월 ~ 36개월,"6개월 미만:1.0
6개월 이상:1.5","
개월별 기본금리
6개월기본 1.5%우대 시 1.5%12개월기본 2%우대 시 2%24개월기본 2.1%우대 시 2.1%36개월기본 2.2%우대 시 2.2%
",0,
154,821,3202DEPOSITFSS,정기예금,ok_sb,단리,2.4,10만원 ~ 제한없음,1개월 ~ 36개월,"1개월 미만:0.5
3개월 미만:0.7
6개월 미만:1.0
12개월 미만:1.5
12개월 이상:1.7","
개월별 기본금리
6개월기본 1.6%우대 시 1.7%12개월기본 2.1%우대 시 2.2%24개월기본 2.2%우대 시 2.3%36개월기본 2.3%우대 시 2.4%
",2,4.0
155,829,3210DEPOSITFSS,행복Together정기예금,kebhana,단리,1.4,"100만원 ~ 5,000만원",12개월,"1개월 미만:0.2(법인0.1)
1개얼-3개월:0.5
3개월-6개월:1.0","
개월별 기본금리
12개월기본 1.1%우대 시 1.4%
",2,3.5
156,830,3211DEPOSITFSS,e-플러스정기예금,kebhana,단리,1.6,1만원 ~ 제한없음,1개월 ~ 36개월,"1개월 미만:0.2(법인0.1)
1개얼-3개월:0.5
3개월-6개월:1.0","
개월별 기본금리
6개월기본 1.3%우대 시 1.3%12개월기본 1.4%우대 시 1.4%24개월기본 1.5%우대 시 1.5%36개월기본 1.6%우대 시 1.6%
",0,
157,834,3215DEPOSITFSS,e-파트너정기예금(구 외환은행),kebhana,단리,1.75,100만원 ~ 제한없음,1개월 ~ 36개월,"1개월 미만:0.1
3개월 미만:1.0
3개월 이상:1.0+(기본이율50%*경과기간별 인정율)","
개월별 기본금리
6개월기본 1.45%우대 시 1.45%12개월기본 1.55%우대 시 1.55%24개월기본 1.65%우대 시 1.65%36개월기본 1.75%우대 시 1.75%
",0,
158,838,3219DEPOSITFSS,"가을야구
정기예금",bnkbs,단리,1.6,100만원 ~ 제한없음,12개월,"가입일 당시 기준금리 * 경과월수/계약월수 * 50%
","
개월별 기본금리
12개월기본 1.3%우대 시 1.6%
",0,
159,839,3220DEPOSITFSS,회전정기예금,pepper_sb,단리,2.35,10만원 ~ 제한없음,24개월 ~ 60개월,"중도해지이율(세전):
- 1개월 미만 : 연 0.5%
- 3개월 미만 : 연 0.6%
- 6개월 미만 : 연 0.8%
- 12개월 미만 : 연 1.0%","
개월별 기본금리
12개월기본 2.35%우대 시 2.35%
",0,
160,857,3238DEPOSITFSS,신한 플러스 월복리 정기예금,shinhan,복리,1.9,"300만원 ~ 3,000만원",12개월 ~ 36개월,"1개월 이상:0.25
3개월 이상:0.5~0.59
29개월 이상:0.6~0.69
34개월 이상:0.7~0.79","
개월별 기본금리
12개월기본 1.44%우대 시 1.64%24개월기본 1.6%우대 시 1.8%36개월기본 1.7%우대 시 1.9%
",0,
161,860,3241DEPOSITFSS,가족행복정기예금,union_sb,단리,2.3,10만원 ~ 제한없음,12개월,"3개월 이하:0.2
3개월-6개월:0.5
6개월 초과:1.0","
개월별 기본금리
12개월기본 2.3%우대 시 2.3%
",0,
162,862,3243DEPOSITFSS,정기예금,jinju_sb,단리,2.09,10만원 ~ 제한없음,1개월 ~ 24개월,신규일부터 해약일 전일까지 해당기간 이율의 1/3,"
개월별 기본금리
6개월기본 2.09%우대 시 2.09%12개월기본 1.8%우대 시 1.8%24개월기본 1.9%우대 시 1.9%
",0,
163,868,3249DEPOSITFSS,최강삼성V9 예금,dgb,단리,1.41,"10만원 ~ 5,000만원",12개월,"1개월 미만:0.1
1개월 이상:약정이자율20%
3개월 이상:약정이자율30%
6개월 이상:약정이자율40%
1년 이상:약정이자율50%","
개월별 기본금리
12개월기본 1.16%우대 시 1.41%
",0,
164,869,3250DEPOSITFSS,ISA플러스 예금,dgb,단리,1.56,"100만원 ~ 5,000만원",12개월,"1개월 미만:0.1
1개월 이상:약정이자율20%
3개월 이상:약정이자율30%
6개월 이상:약정이자율40%
1년 이상:약정이자율50%","
개월별 기본금리
12개월기본 1.16%우대 시 1.56%
",0,
165,870,3251DEPOSITFSS,e-정기예금,choeun_sb,단리,2.6,10만원 ~ 제한없음,6개월 ~ 36개월,"6개월 미만:0.5
6-12개월:1.0
12개월 이상:1.5","
개월별 기본금리
6개월기본 1.9%우대 시 1.9%12개월기본 2.2%우대 시 2.2%24개월기본 2.5%우대 시 2.5%36개월기본 2.6%우대 시 2.6%
",0,
166,878,3259DEPOSITFSS,"MY SUM
정기예금",bnkbs,단리,2.0,"100만원 ~ 3,000만원",1개월 ~ 12개월,가입일 당시 기준금리 * 경과월수/계약월수 * 50%,"
개월별 기본금리
6개월기본 1.5%우대 시 2%12개월기본 1.7%우대 시 2.2%
",0,
167,880,3261DEPOSITFSS,행복knowhow 연금예금,kebhana,단리,1.4,100만원 ~ 제한없음,12개월 ~ 372개월,"1개월 미만 : 0.2%
1개월 ~ 3개월 : 0.5%
3개월 ~ 12개월 : 1.0%
12개월 이상 : 2.0%","
개월별 기본금리
12개월기본 1.2%우대 시 1.2%24개월기본 1.3%우대 시 1.3%36개월기본 1.4%우대 시 1.4%
",0,
168,889,3270DEPOSITFSS,스마트정기예금,daishin_sb,단리,2.3,제한없음,제한없음,,"
개월별 기본금리
6개월기본 1.8%우대 시 1.8%12개월기본 2.1%우대 시 2.1%24개월기본 2.2%우대 시 2.2%36개월기본 2.3%우대 시 2.3%
",0,
169,897,3278DEPOSITFSS,정기예금(특판),yegaram_sb,단리,2.3,제한없음,제한없음,,"
개월별 기본금리
12개월기본 2.3%우대 시 2.3%
",0,
170,899,3280DEPOSITFSS,한화가족사랑정기예금,hanwha_sb,단리,2.2,제한없음,제한없음,"6개월 미만 0.2%, 6개월 이상 0.5%, 12개월 초과 1.0%","
개월별 기본금리
6개월기본 1.6%우대 시 1.6%12개월기본 2.2%우대 시 2.2%24개월기본 2.2%우대 시 2.2%
",0,
171,905,3286DEPOSITFSS,e-정기예금,yegaram_sb,단리,2.3,제한없음,제한없음,,"
개월별 기본금리
6개월기본 1.8%우대 시 1.8%12개월기본 2.3%우대 시 2.3%24개월기본 2.3%우대 시 2.3%36개월기본 2.3%우대 시 2.3%
",0,
172,919,3300DEPOSITFSS,BNK어울림,bnkbs,단리,1.3,제한없음,제한없음,,"
개월별 기본금리
12개월기본 1.1%우대 시 1.1%24개월기본 1.2%우대 시 1.2%36개월기본 1.3%우대 시 1.3%
",0,
173,922,3303DEPOSITFSS,OK안심정기예금,ok_sb,단리,2.1,제한없음,제한없음,,"
개월별 기본금리
12개월기본 2.1%우대 시 2.1%
",0,
174,924,3305DEPOSITFSS,두리하나 정기예금,kebhana,단리,1.3,제한없음,제한없음,,"
개월별 기본금리
12개월기본 1.3%우대 시 1.3%
",0,
175,928,3309DEPOSITFSS,정기예금 복리식,ms_sb,복리,2.27,제한없음,제한없음,,"
개월별 기본금리
6개월기본 1.71%우대 시 1.71%12개월기본 1.91%우대 시 1.91%24개월기본 2.24%우대 시 2.24%36개월기본 2.27%우대 시 2.27%
",0,
176,934,3315DEPOSITFSS,e-정기예금,ok_sb,단리,2.3,제한없음,제한없음,,"
개월별 기본금리
6개월기본 1.7%우대 시 1.7%12개월기본 2.2%우대 시 2.2%24개월기본 2.3%우대 시 2.3%
",0,
177,940,3321DEPOSITFSS,OK e-안심정기예금,ok_sb,복리,2.37,제한없음,제한없음,,"
개월별 기본금리
36개월기본 2.37%우대 시 2.37%
",0,
178,941,3322DEPOSITFSS,미즈월복리정기예금,gwangju,복리,1.61,제한없음,제한없음,,"
개월별 기본금리
12개월기본 1.51%우대 시 1.51%24개월기본 1.61%우대 시 1.61%36개월기본 1.5%우대 시 1.5%
",0,
179,944,3325DEPOSITFSS,평생대박정기예금,gwangju,단리,1.41,제한없음,제한없음,,"
개월별 기본금리
12개월기본 1.31%우대 시 1.31%24개월기본 1.41%우대 시 1.41%36개월기본 1.3%우대 시 1.3%
",0,
180,947,3328DEPOSITFSS,"전북아이나라예금
(월이자지급식)",jbb,단리,1.45,제한없음,제한없음,,"
개월별 기본금리
24개월기본 1.45%우대 시 1.45%
",0,
181,948,3329DEPOSITFSS,"전북아이나라예금
(만기일시지급식)",jbb,단리,1.55,제한없음,제한없음,,"
개월별 기본금리
24개월기본 1.55%우대 시 1.55%
",0,
182,949,3330DEPOSITFSS,"실버보금자리예금
(월이자지급식)",jbb,단리,1.25,제한없음,제한없음,,"
개월별 기본금리
12개월기본 1.25%우대 시 1.25%
",0,
183,950,3331DEPOSITFSS,"실버보금자리예금
(만기일시지급식)",jbb,단리,1.35,제한없음,제한없음,,"
개월별 기본금리
12개월기본 1.35%우대 시 1.35%
",0,
184,951,3332DEPOSITFSS,"다이아몬드
정기예금",bnkgn,단리,1.3,제한없음,제한없음,,"
개월별 기본금리
6개월기본 1.05%우대 시 1.05%12개월기본 1.25%우대 시 1.25%24개월기본 1.3%우대 시 1.3%
",0,
185,954,3335DEPOSITFSS,"BNK사랑방
정기예금",bnkgn,단리,1.25,제한없음,제한없음,,"
개월별 기본금리
12개월기본 1.25%우대 시 1.25%
",0,
186,956,3337DEPOSITFSS,정기예금,kdb,단리,1.08,제한없음,제한없음,,"
개월별 기본금리
6개월기본 0.85%우대 시 0.85%12개월기본 0.9%우대 시 0.9%24개월기본 0.99%우대 시 0.99%36개월기본 1.08%우대 시 1.08%
",0,
187,960,3341DEPOSITFSS,CD연동장기정기예금,osb_sb,단리,2.4,제한없음,제한없음,,"
개월별 기본금리
24개월기본 2.3%우대 시 2.3%36개월기본 2.4%우대 시 2.4%
",0,
188,962,3343DEPOSITFSS,자유적립예금,anyang_sb,단리,2.2,제한없음,제한없음,,"
개월별 기본금리
6개월기본 1.8%우대 시 1.8%12개월기본 2.2%우대 시 2.2%24개월기본 2.2%우대 시 2.2%36개월기본 2.2%우대 시 2.2%
",0,
189,972,3353DEPOSITFSS,이웃사랑정기예금,asan_sb,단리,2.1,제한없음,제한없음,,"
개월별 기본금리
6개월기본 1.8%우대 시 1.8%12개월기본 2.1%우대 시 2.1%24개월기본 2.1%우대 시 2.1%36개월기본 2.1%우대 시 2.1%
",0,
190,980,3361DEPOSITFSS,e-PLAN 인터넷정기예금,ki_sb,단리,2.3,제한없음,제한없음,,"
개월별 기본금리
6개월기본 1.6%우대 시 1.6%12개월기본 2.2%우대 시 2.2%24개월기본 2.3%우대 시 2.3%36개월기본 2.3%우대 시 2.3%
",0,
191,991,3372DEPOSITFSS,국민수퍼고정금리형-만기일시지급식,kb,단리,1.2,제한없음,제한없음,,"
개월별 기본금리
6개월기본 0.9%우대 시 0.9%12개월기본 1%우대 시 1%24개월기본 1%우대 시 1%36개월기본 1.2%우대 시 1.2%
",0,
192,995,3376DEPOSITFSS,KB주니어라이프증여예금,kb,복리,1.2,제한없음,제한없음,,"
개월별 기본금리
12개월기본 1.2%우대 시 1.2%
",0,
193,996,3377DEPOSITFSS,신한 S드림 정기예금(온라인전용),shinhan,단리,1.94,제한없음,제한없음,,"
개월별 기본금리
6개월기본 1.67%우대 시 1.67%12개월기본 1.73%우대 시 1.73%24개월기본 1.85%우대 시 1.85%36개월기본 1.94%우대 시 1.94%
",0,
194,1002,3383DEPOSITFSS,쏠쏠한마이쿨예금,gwangju,단리,1.75,제한없음,제한없음,,"
개월별 기본금리
12개월기본 1.75%우대 시 1.75%
",0,
195,1003,3384DEPOSITFSS,"신한 두근두근 커플 정기예금
(스마트폰 전용)",shinhan,단리,1.68,제한없음,제한없음,,"
개월별 기본금리
12개월기본 1.68%우대 시 1.68%
",0,
196,1004,3385DEPOSITFSS,(e)-정기예금,kuemhwa_sb,단리,2.4,제한없음,제한없음,,"
개월별 기본금리
6개월기본 1.9%우대 시 1.9%12개월기본 2.2%우대 시 2.2%24개월기본 2.4%우대 시 2.4%36개월기본 2.4%우대 시 2.4%
",0,
197,1012,3393DEPOSITFSS,i-ONE놀이터예금,ibk,단리,1.3,제한없음,제한없음,,"
개월별 기본금리
6개월기본 1.25%우대 시 1.25%12개월기본 1.3%우대 시 1.3%
",0,
198,1016,3397DEPOSITFSS,투유더정기예금,bnkgn,단리,1.45,제한없음,제한없음,,"
개월별 기본금리
6개월기본 1.15%우대 시 1.15%12개월기본 1.35%우대 시 1.35%24개월기본 1.45%우대 시 1.45%
",0,
